"","country","oxSI_lev","rate_lev","rate_diff","fx_diff","fiscal","welfare","sme_grants","sme_loans","guarantee","stimulus","industry","tax_deferrals","tax_waivers","aug20yoy","jul20yoy","jun20yoy","apr20yoy"
"75","SERBIA",56.9596774193548,2.25,-0.338709677419355,0.00163432861290147,0.084,0.0154,0,0.0521,0,0,0,0.0298,0,0.13771186440678,-0.0764388489208633,-0.0637488106565175,0.117031398667935
"76","SLOVAKIA",NA,0,0,0.0033346831475044,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00176056338028163,-0.0755711775043936,-0.0872662511130899,-0.182139699381079
"77","SLOVENIA",46.0561290322581,0,0,0.0033346831475044,0.153,NA,NA,0.014,0,0.0109,0,0,0,-0.0919881305637982,-0.114,-0.158793969849246,-0.480657640232108
"78","SOUTH AFRICA",39.338064516129,6.37096774193548,-0.540322580645161,0.14304469625295,0.0616,NA,0,0,0.041,0,0,0,0,0.04995004995005,-0.00393313667649953,-0.00815494393476046,-0.16530612244898
"79","SOUTH KOREA",62.5787096774194,1.25,-0.258064516129032,0.0468217563061053,0.0338,NA,6e-04,NA,0,0,0,0,0,-0.0486652190573508,-0.13224374662961,-0.164610561459224,-0.246713480852454
"80","SPAIN",51.7322580645161,0,0,0.0033346831475044,0.038,0.0053,NA,0,0.0952,0,1e-04,0.0081,8e-04,-0.0654475457170357,-0.0703953712632593,-0.115606936416185,-0.28639846743295
"81","SRI LANKA",54.5693548387097,6.96774193548387,-0.596774193548387,0.0199375371503718,0.0036,0.0038,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"82","SWEDEN",18.1009677419355,0,0,0.0337940634256633,0.1171,0.0594,0.0091,6e-04,0.1034,0,0,0.0056,0.011,-0.00788954635108496,-0.035035035035035,-0.0865384615384616,-0.419465977605512
"83","SWITZERLAND",50.448064516129,-1.25,0,-0.0133909718860347,0.1059,NA,0.0015,0.0589,0,0,0.0028,0,0,NA,NA,NA,NA
"84","TAIWAN",25.4483870967742,1.375,-0.104838709677419,0.00531121580481297,0.0572,0.0012,0,0,0.0382,0.0027,0,0,0,0.159503631961259,-0.00764183071683699,0.175930700216562,-0.312202852614897
"85","TAJIKISTAN",16.2170967741935,12.3145161290323,0.435483870967742,0.020321128959357,5e-04,NA,0,0,0,0,0,0,0,NA,NA,NA,NA
"86","THAILAND",35.9025806451613,1.25,-0.346774193548387,0.0528826086977983,0.0919,NA,0,0,0,0,0.01,0,0,0.0525276106671455,0.0243482983345402,0.0501250810710645,0.0496506753609689
"87","TRINIDAD AND TOBAGO",38.7406451612903,5,-0.725806451612903,-6.03432147396887e-05,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA
"88","TUNISIA",48.4761290322581,7.75,-0.483870967741935,NA,0.0237,0.0043,NA,NA,0,0,NA,NA,NA,0.101057579318449,-0.0157563025210083,0.0380313199105144,-0.394009216589862
"89","TURKEY",43.9064516129032,11.6129032258065,-1.34677419354839,0.0649659179391056,0.154,0.0017,0,0.0134,0,0,0,0,0,-0.0934341656594341,-0.129254294469342,-0.177972641108956,-0.182171829584435
"90","UGANDA",35.9622580645161,9,0,0.0247177803794987,0.014,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA
"91","UKRAINE",54.4206451612903,13.3387096774194,-2.98387096774193,0.0908150754014856,0.0182,0.0015,0,NA,0,0,0,0,0,-0.0633299284984679,-0.0739614994934144,-0.121334681496461,-0.236493374108053
"92","UNITED ARAB EMIRATES",43.4893548387097,2.5,0,0,0.0115,NA,0.001,NA,0,0.0105,0,0,0,NA,NA,NA,NA
"93","UNITED KINGDOM",36.2867096774194,0.75,-0.401612903225806,0.0543222342293422,0.0491,0.004,0.0121,NA,0.1542,0,0,0.0192,0.0061,-0.0929307658767385,-0.105621311250868,-0.116462531007948,-0.115071273559839
"94","USA",43.3284418746196,1.5,-1.01612903225806,0,0.138,0.0394,0.017,0.0029,0,0,0.0016,0.0239,0.0024,-0.0701237912398514,-0.0677112935576962,-0.106795183633578,-0.162613039137966
"95","UZBEKISTAN",46.6574193548387,16,0,-0.00155572779483037,0.0245,NA,0.0012,NA,0,5e-04,0.01,0,0,NA,NA,NA,NA
"96","VIETNAM",53.4929032258065,6,-0.483870967741935,0.00254895183506854,0.0503,NA,0,NA,0,0,0,0.0342,0,0.0204956463496315,0.0400423728813561,0.0446681580909769,-0.134621099554235
"97","ZAMBIA",24.0167741935484,11.5,0,0.136577505987749,0.0286,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA
