Country,Date,fiscal_7,ratecut_7,reserve_req_7,macrofin_7,othermonetary_7,bopgdp_7,otherbop_7,,
Laos,4-Jun,0.05379059,18.33333333,20,0,1,0,0,,
Latvia,4-Jun,10.3,0,0,12.69535807,1,0,0,,
Lebanon,4-Jun,1.931810118,0,0,0,1,0,0,,
Lesotho,2-Jun,5.714285714,32,0,0,1,0,0,,
Liberia,15-May,0.046554935,0,0,0,0,0,0,,
Libya,5-Jun,1,0,0,0,0,0,0,,
Lithuania,4-Jun,17.1,0,100,13.04271206,1,0,0,,
Luxembourg,4-Jun,22,0,0,12.35294118,1,0,0,,
Madagascar,4-Jun,2.344347826,0,0,1.2,1,0,1,,
Malawi,4-Jun,0.85,50,25,0,1,0,0,,
Malaysia,4-Jun,2.9,9.090909091,33.33333333,0.9,1,0,0,,
Maldives,4-Jun,2.8,0,50,0,1,0,1,,
Mali,4-Jun,0.5,9.090909091,0,0.8,1,0,0,,
Malta,4-Jun,8.352493438,0,0,21.05294118,1,0,0,,
Mauritania,4-Jun,3.9875,25.42735043,28.57142857,0,0,0,0,,
Mauritius,4-Jun,2.52,44.7761194,11.11111111,14.80170904,1,2.290397142,1,,
Mexico,4-Jun,1,21.42857143,15,0.6,1,0.2,1,,
Moldova,4-Jun,0,40.90909091,5.697384807,0,1,0,0,,
Mongolia,4-Jun,2.04,18.18181818,19.04761905,0,1,0,1,,
Montenegro,4-Jun,1.765117994,0,26.66666667,2.212389381,1,0,0,,
Morocco,4-Jun,2.7,11.11111111,0,0,1,3,1,,
Mozambique,4-Jun,0.1,11.76470588,7.852564103,0,1,0,0,,
Myanmar,4-Jun,0.100285714,37.5,30,0,1,0,0,,
N. Macedonia,4-Jun,1.2,25,0,0,1,0,1,,
Namibia,4-Jun,4.25,32,100,0,1,0,0,,
Nepal,4-Jun,0,16.66666667,25,0,1,0,1,,
Netherlands,4-Jun,13.5,0,33.33333333,12.35294118,1,0,0,,
New Zealand,4-Jun,10.80869565,75,33.33333333,9.747596331,1,0,0,,
Nicaragua,1-Jun,0,12.5,0,0,1,0,0,,
Niger,4-Jun,1.3,9.090909091,0,1.4,1,0,0,,
Nigeria,21-May,1.224450949,44.44444444,0,2.519361405,1,0,1,,
Norway,4-Jun,5.5,100,60,0,1,0,0,,
Oman,20-May,-5,60,50,26.23711795,1,0,0,,
Pakistan,4-Jun,4.836575104,39.62264151,40,0.063332559,1,0,0,,
Panama,2-Jun,6.357242909,0,0,2,1,0,0,,
Papua N. Guineia,22-May,6.91058634,40,30,0,1,0,1,,
Paraguay,4-Jun,2.5,56.59722222,35,5.450213686,0,0.672987179,0,,
Peru,4-Jun,7,88.88888889,0,8,1,0.9,0,,
Philippines,3-Jun,3.1,31.25,14.28571429,1.6,1,0,1,,
Poland,3-Jun,9.6,66.66666667,85.71428571,3.8,1,0,0,,
Portugal,4-Jun,8.5,0,0,12.35294118,1,0,0,,
Qatar,4-Jun,13,43.7254902,0,1.475900317,1,0,0,,
Romania,28-May,2.3,20,0,0,1,0,0,,
Russia,4-Jun,2.9,8.333333333,0,0.49023199,1,0,1,,
Rwanda,3-Jun,3.3,10,20,0.5,1,0,0,,
San Marino,4-Jun,0,0,0,0,1,0,0,,
Saudi Arabia,4-Jun,-2.764,63.49206349,0,4,1,0,0,,
Senegal,3-Jun,7,9.090909091,0,0.743074353,1,0,0,,
Serbia,3-Jun,6.5,33.33333333,0,0,1,0,1,,
Seychelles,4-Jun,5,20,0,4.119393557,1,0,0,,
Sierra Leone,3-Jun,0.183733464,9.090909091,0,1.285350318,1,0,0,,
Singapore,3-Jun,19.7,0,0,0.024805826,1,0,0,,
Slovak Republic,6-Jun,6.1,0,0,12.35294118,1,0,0,,
Slovenia,3-Jun,19.71277837,0,0,12.35294118,1,0,0,,
South Africa,3-Jun,0.2,40,20,0,1,0,0,,
South Korea,4-Jun,3.773006135,60,0,11.25,1,3.680981595,1,,
Spain,4-Jun,7.3,0,0,18.79070942,1,0,0,,
Sri Lanka,4-Jun,0.36,14.35897436,0,0,1,0,1,,
Sudan,21-May,7.226379037,0,0,0,1,0,0,,
Suriname,4-Jun,0.171110279,0,21.42857143,0,1,0,0,,
Sweden,3-Jun,15.55,36.66666667,100,15.12490334,1,0,0,,
Switzerland,4-Jun,10.4,0,100,0.510243131,1,13.3,1,,
Tajikistan,20-May,2.324582924,7.843137255,0.555555556,0,1,0,1,,
Tanzania,21-May,0.485343276,28.57142857,14.28571429,0,1,0,0,,
Thailand,21-May,9.6,60,50,5.809181918,1,0,1,,
Togo,4-Jun,4.572352941,9.090909091,0,3.2,1,0,0,,
Tonga,4-Jun,5.3,0,0,0,1,0,0,,
Trinidad Tobago,4-Jun,3.25,30,17.64705882,0,1,0,1,,
Tunisia,4-Jun,1.8,12.90322581,0,0.994010121,1,0,0,,
Turkey,4-Jun,3.78,23.25581395,13.15789474,1.531254162,1,0,1,,
Turkmenistan,4-Jun,0,0,0,0,0,0,1,,
UAE,4-Jun,2,62.5,50,7.8125,1,0,0,,
Uganda,2-Jun,1.08841733,11.11111111,0,0,1,0,1,,
UK,4-Jun,5,86.66666667,100,29.08163265,1,0,0,,
Ukraine,4-Jun,0.182844529,20,1,0,1,0,1,,
United States,4-Jun,13.92243793,100,0,3.26675378,1,0,0,,
Uruguay,4-Jun,0.7,0,52.17532468,1.335158049,1,0,1,,
Uzbekistan,20-May,1.5,6.25,0,0,1,0,0,,
Vietnam,4-Jun,4.1,14.48412698,0,4,1,0,1,,
Yemen,4-Jun,0,0,0,0,0,2.718277699,0,,
Zambia,2-Jun,0.97,19.56521739,0,3,1,0,0,,
Zimbabwe,3-Jun,1.716336402,57.14285714,10,0.064710711,1,0,1,,
